消火栓名,消火栓名(英語),消火栓分類,消防団,管理番号,都道府県名,市区町村名,行政区名,住所,対象範囲の直径(m),配水管口径(mm),貯水量(t),緯度,経度,分離器（有、無）,標準地域コード
消火栓,,消火栓,鯖江第1分団,65,福井県,鯖江市,,旭町4丁目9-18,120,75,,35.9498564944,136.1887812889,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,66,福井県,鯖江市,,本町4丁目2-5,100,300,,35.9499813417,136.1858720694,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,67,福井県,鯖江市,,本町4丁目4-8,120,75,,35.9497301528,136.1840537139,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,68,福井県,鯖江市,,桜町3丁目7-6,120,75,,35.9497797583,136.1832666028,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,69,福井県,鯖江市,,桜町3丁目7-15,120,350,,35.9494439,136.1824030111,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,70,福井県,鯖江市,,本町4丁目1-2,100,100,,35.9494886472,136.1863685111,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,71,福井県,鯖江市,,旭町4丁目8-13,120,100,,35.9487597917,136.1879778306,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,72,福井県,鯖江市,,本町4丁目7-18,100,300,,35.9486812944,136.1854743167,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,73,福井県,鯖江市,,本町4丁目8-16,120,75,,35.9486307111,136.1840806583,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,74,福井県,鯖江市,,桜町3丁目6-8,120,350,,35.9485419639,136.1825273083,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,75,福井県,鯖江市,,本町4丁目10-5,120,100,,35.9480690556,136.1832942583,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,76,福井県,鯖江市,,旭町4丁目4-5,120,100,,35.9480844333,136.1861899806,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,77,福井県,鯖江市,,旭町4丁目5-18,120,100,,35.9479861667,136.1874854083,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,78,福井県,鯖江市,,小黒町1丁目6-15,120,300,,35.9516788917,136.1761664722,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,79,福井県,鯖江市,,旭町4丁目1,120,100,,35.9473814917,136.1884625111,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,80,福井県,鯖江市,,旭町3丁目6-29,120,75,,35.9472870861,136.1870434944,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,81,福井県,鯖江市,,本町3丁目2-38,120,100,,35.9472890389,136.1847862889,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,82,福井県,鯖江市,,旭町2丁目1-19,100,200,,35.9463008333,136.1883499972,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,83,福井県,鯖江市,,旭町2丁目2-14,100,200,,35.9462126528,136.1873904556,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,84,福井県,鯖江市,,本町3丁目1-1,100,75,,35.9464933889,136.1862991,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,85,福井県,鯖江市,,本町3丁目2-44,100,300,,35.9465729,136.1852951667,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,86,福井県,鯖江市,,本町2丁目4-16,100,300,,35.9464374,136.1839696306,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,87,福井県,鯖江市,,桜町3丁目2-12,100,100,,35.9470127528,136.1832852917,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,88,福井県,鯖江市,,桜町1丁目3-13,100,150,,35.9468836917,136.1817418556,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,89,福井県,鯖江市,,桜町2丁目9-22,100,150,,35.9460369111,136.180257325,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,90,福井県,鯖江市,,桜町2丁目4-8,120,100,,35.9458604333,136.1815737056,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,91,福井県,鯖江市,,桜町2丁目2-19,120,150,,35.9449461639,136.1801948944,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,92,福井県,鯖江市,,桜町2丁目1-36,120,100,,35.9449830806,136.1817734361,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,93,福井県,鯖江市,,桜町1丁目1-16,100,100,,35.9455305972,136.1832686944,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,94,福井県,鯖江市,,旭町2丁目3-4,100,75,,35.9452043639,136.1865833833,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,95,福井県,鯖江市,,旭町2丁目2-7,100,75,,35.9453006889,136.1872374556,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,96,福井県,鯖江市,,旭町2丁目1,100,75,,35.9458311111,136.1882709667,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,97,福井県,鯖江市,,旭町2丁目1-30,100,100,,35.9450554444,136.1885648528,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,98,福井県,鯖江市,,長泉寺町1丁目11-19,120,75,,35.9506405694,136.1895052139,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,99,福井県,鯖江市,,柳町4丁目10-9,120,100,,35.9500976944,136.1917423722,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,100,福井県,鯖江市,,柳町4丁目8-20,120,75,,35.9492509083,136.1912975,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,101,福井県,鯖江市,,柳町2丁目11-1,120,75,,35.9490063306,136.1896228111,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,102,福井県,鯖江市,,柳町4丁目7,120,75,,35.9487140917,136.1927702306,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,103,福井県,鯖江市,,柳町2丁目8-13,120,75,,35.9481484861,136.1891586556,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,104,福井県,鯖江市,,柳町2丁目1-11,120,75,,35.9473981444,136.1895662167,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,105,福井県,鯖江市,,柳町4丁目2-28,120,75,,35.9477175583,136.1908257194,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,106,福井県,鯖江市,,柳町4丁目5-25,120,75,,35.9476455972,136.1921529,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,107,福井県,鯖江市,,柳町4丁目5-21,120,75,,35.9478252167,136.1933399194,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,108,福井県,鯖江市,,柳町4丁目6-27,120,100,,35.947430275,136.1940640972,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,109,福井県,鯖江市,,柳町2丁目3-13,120,75,,35.9471697278,136.1904407778,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,110,福井県,鯖江市,,柳町2丁目1-19,100,200,,35.9464567528,136.1895583222,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,111,福井県,鯖江市,,柳町4丁目3-26,100,200,,35.9465359806,136.1912087278,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,112,福井県,鯖江市,,有定町1丁目10-19,120,100,,35.9470721167,136.1770039028,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,113,福井県,鯖江市,,小黒町1丁目7-20,120,100,,35.9515292306,136.1783304528,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,114,福井県,鯖江市,,長泉寺町1丁目2-44,120,100,,35.9517048056,136.1878437833,無,http://statdb.nstac.go.jp/lod/sac/C18207
消火栓,,消火栓,鯖江第1分団,115,福井県,鯖江市,,長泉寺町2丁目9-1-12,120,100,,35.95454725,136.1878383111,無,http://statdb.nstac.go.jp/lod/sac/C18207
